model,mse,rmse,mae,r2
LinearRegression_baseline,233263.79652102635,482.973908737342,340.78305611348407,0.9026994050356162
RandomForest_baseline,134122.17477982593,366.22694436623027,188.66310545286493,0.9440540383950331
GradientBoosting_baseline,126395.64878976934,355.521657272478,201.49201797612187,0.9472769799189764
RandomForest_tuned,137114.12163322046,370.2892405042583,190.4443528650645,0.942806016999176
